
"KS401EW - Dwellings, household spaces and accommodation type"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All dwellings; all household spaces"
"Units      :","Household spaces and Dwellings"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","Unshared dwelling","Shared dwelling: Two household spaces","Shared dwelling: Three or more household spaces","Household spaces with at least one usual resident","Household spaces with no usual residents","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"

"Camden 001A","E01000907",628,1,0,627,3,14,26,97,387,106,0,0
"Camden 001B","E01000908",836,1,3,827,42,15,82,33,636,98,5,0
"Camden 001C","E01000909",674,0,1,661,16,79,143,64,239,143,9,0
"Camden 001D","E01000912",704,3,0,700,10,7,13,71,535,76,8,0
"Camden 001E","E01000913",795,1,2,722,83,218,99,123,193,139,33,0
"Camden 002A","E01000893",709,4,14,715,59,9,112,54,113,485,1,0
"Camden 002B","E01000894",654,0,3,619,48,28,83,191,130,210,24,1
"Camden 002C","E01000895",881,3,2,841,55,12,45,155,486,124,74,0
"Camden 002D","E01000896",779,1,5,756,46,40,99,145,106,389,23,0
"Camden 002E","E01000899",761,0,0,698,63,65,137,164,200,179,11,5
"Camden 003A","E01000910",604,1,2,588,24,41,76,153,103,223,16,0
"Camden 003B","E01000911",669,1,2,663,15,10,27,149,282,205,4,1
"Camden 003C","E01000921",937,3,5,946,30,7,26,75,314,469,85,0
"Camden 003D","E01000923",650,2,3,656,9,5,34,216,66,340,4,0
"Camden 003E","E01000928",681,3,1,682,9,11,35,128,259,238,19,1
"Camden 004A","E01000878",579,1,2,550,40,42,24,15,340,169,0,0
"Camden 004B","E01000879",620,0,4,602,36,50,41,30,130,377,10,0
"Camden 004C","E01000880",673,0,0,621,52,51,47,16,143,416,0,0
"Camden 004D","E01000884",605,2,3,577,52,76,128,18,82,325,0,0
"Camden 004E","E01000885",648,0,0,592,56,107,91,54,252,142,2,0
"Camden 005A","E01000871",665,1,1,632,46,55,191,46,180,202,3,1
"Camden 005B","E01000872",836,5,19,913,51,44,102,32,215,539,32,0
"Camden 005C","E01000873",695,3,7,710,21,15,32,192,116,354,22,0
"Camden 005D","E01000874",703,0,4,704,30,3,5,30,508,161,27,0
"Camden 005E","E01000877",694,2,10,726,42,15,38,158,195,328,33,1
"Camden 006A","E01000886",618,4,3,606,31,6,55,143,113,312,8,0
"Camden 006B","E01000887",696,0,3,690,24,6,27,157,231,273,20,0
"Camden 006C","E01000888",661,0,9,697,19,7,22,156,169,361,1,0
"Camden 006D","E01000892",831,1,4,823,26,10,65,72,386,312,4,0
"Camden 006E","E01000903",710,0,1,686,28,10,35,103,223,333,10,0
"Camden 007A","E01000889",660,1,0,657,5,18,34,110,456,39,5,0
"Camden 007B","E01000890",758,2,4,767,9,1,1,7,755,10,2,0
"Camden 007C","E01000891",677,0,1,672,10,7,3,21,578,62,11,0
"Camden 007D","E01000901",690,1,4,703,11,1,6,29,594,64,20,0
"Camden 007E","E01000922",656,2,2,653,15,8,24,115,270,200,50,1
"Camden 007F","E01000927",745,1,1,734,16,9,31,254,212,215,28,1
