
"KS404EW - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households; All cars or vans"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Car or van availability","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"

"Camden 001A","E01000907",627,384,207,29,7,0
"Camden 001B","E01000908",827,492,285,44,4,2
"Camden 001C","E01000909",661,243,294,100,18,6
"Camden 001D","E01000912",700,424,253,21,2,0
"Camden 001E","E01000913",722,161,309,193,43,16
"Camden 002A","E01000893",715,313,302,83,11,6
"Camden 002B","E01000894",619,239,279,73,22,6
"Camden 002C","E01000895",841,465,315,46,12,3
"Camden 002D","E01000896",756,300,340,94,13,9
"Camden 002E","E01000899",698,181,316,164,30,7
"Camden 003A","E01000910",588,224,281,72,9,2
"Camden 003B","E01000911",663,334,283,43,2,1
"Camden 003C","E01000921",946,669,243,26,7,1
"Camden 003D","E01000923",656,353,264,38,1,0
"Camden 003E","E01000928",682,381,257,40,2,2
"Camden 004A","E01000878",550,188,240,92,21,9
"Camden 004B","E01000879",602,276,247,63,12,4
"Camden 004C","E01000880",621,221,302,78,17,3
"Camden 004D","E01000884",577,151,235,149,34,8
"Camden 004E","E01000885",592,117,294,132,29,20
"Camden 005A","E01000871",632,232,269,94,30,7
"Camden 005B","E01000872",913,594,254,62,3,0
"Camden 005C","E01000873",710,318,304,80,8,0
"Camden 005D","E01000874",704,323,330,48,3,0
"Camden 005E","E01000877",726,354,294,67,6,5
"Camden 006A","E01000886",606,256,282,62,6,0
"Camden 006B","E01000887",690,385,253,44,7,1
"Camden 006C","E01000888",697,373,264,51,9,0
"Camden 006D","E01000892",823,426,340,49,7,1
"Camden 006E","E01000903",686,357,292,31,6,0
"Camden 007A","E01000889",657,424,190,36,7,0
"Camden 007B","E01000890",767,545,191,30,0,1
"Camden 007C","E01000891",672,508,148,13,1,2
"Camden 007D","E01000901",703,483,202,17,1,0
"Camden 007E","E01000922",653,428,202,20,0,3
"Camden 007F","E01000927",734,401,293,38,2,0
"Camden 008A","E01000881",632,336,225,57,11,3
"Camden 008B","E01000882",728,331,313,69,9,6
"Camden 008C","E01000883",638,392,200,36,8,2
"Camden 008D","E01000897",721,268,340,94,12,7
"Camden 008E","E01000898",850,561,234,48,7,0
"Camden 009A","E01000866",926,576,298,48,3,1
"Camden 009B","E01000870",774,457,282,31,4,0
"Camden 009C","E01000924",795,477,281,32,2,3
"Camden 009D","E01000925",629,443,166,17,3,0
"Camden 009E","E01000926",698,446,226,22,2,2
"Camden 010A","E01000969",954,508,362,71,12,1
"Camden 010B","E01000970",831,511,276,42,2,0
"Camden 010C","E01000971",649,299,287,44,15,4
"Camden 010D","E01000972",949,634,274,37,4,0
"Camden 010E","E01000973",894,562,283,45,4,0
"Camden 011A","E01000842",724,353,307,52,11,1
"Camden 011B","E01000844",870,464,318,81,5,2
"Camden 011C","E01000848",805,396,350,53,5,1
"Camden 011D","E01000849",862,548,273,36,4,1
"Camden 012A","E01000900",757,494,221,38,3,1
"Camden 012B","E01000902",590,398,164,26,2,0
"Camden 012C","E01000904",918,600,282,34,2,0
"Camden 012D","E01000905",812,581,200,28,2,1
"Camden 012E","E01000906",788,418,301,52,13,4
"Camden 013A","E01000875",839,557,240,33,3,6
"Camden 013B","E01000876",800,519,250,29,1,1
"Camden 013C","E01000931",873,612,229,31,1,0
"Camden 013D","E01000932",947,618,289,36,1,3
"Camden 013E","E01000974",821,533,248,32,8,0
"Camden 014A","E01000843",846,486,314,40,3,3
"Camden 014B","E01000845",731,350,313,53,11,4
"Camden 014C","E01000846",616,332,222,46,15,1
"Camden 014D","E01000847",677,325,255,75,14,8
"Camden 015A","E01000864",717,425,246,38,8,0
"Camden 015B","E01000865",451,252,166,27,5,1
"Camden 015C","E01000867",675,489,162,20,4,0
"Camden 015D","E01000868",584,372,193,15,4,0
"Camden 015E","E01000869",967,599,317,44,5,2
"Camden 016A","E01000962",745,390,303,47,5,0
"Camden 016B","E01000964",713,374,284,50,4,1
"Camden 016C","E01000965",764,419,290,42,12,1
"Camden 016D","E01000966",675,272,316,68,15,4
"Camden 016E","E01000968",760,424,295,37,3,1
"Camden 017A","E01000960",841,511,282,40,7,1
"Camden 017B","E01000961",652,361,235,49,7,0
"Camden 017C","E01000963",851,394,363,78,11,5
"Camden 017D","E01000967",619,212,268,93,35,11
"Camden 018A","E01000857",686,314,282,73,14,3
"Camden 018B","E01000858",775,513,228,31,0,3
"Camden 018C","E01000859",807,356,356,81,13,1
"Camden 018D","E01000860",797,520,222,48,6,1
"Camden 018E","E01000862",816,359,333,93,24,7
"Camden 019A","E01000856",628,420,173,32,3,0
"Camden 019B","E01000861",729,532,173,23,1,0
"Camden 019C","E01000957",765,488,253,20,4,0
"Camden 019D","E01000958",835,607,203,22,1,2
"Camden 019E","E01000959",698,519,164,12,3,0
"Camden 020A","E01000929",685,437,213,30,5,0
"Camden 020B","E01000930",1076,837,217,20,1,1
"Camden 020C","E01000933",821,479,284,49,8,1
"Camden 020D","E01000934",732,515,196,18,1,2
"Camden 020E","E01000935",624,432,169,21,0,2
"Camden 021A","E01000863",667,486,149,28,2,2
"Camden 021B","E01000946",715,429,206,66,11,3
"Camden 021C","E01000947",871,648,183,36,2,2
"Camden 021D","E01000948",846,530,241,58,10,7
"Camden 022A","E01000952",675,472,173,28,2,0
"Camden 022B","E01000953",708,518,161,25,1,3
"Camden 022C","E01000954",642,452,175,13,2,0
"Camden 022D","E01000955",657,514,123,17,3,0
"Camden 022E","E01000956",608,458,134,15,0,1
"Camden 023A","E01000944",667,466,167,25,8,1
"Camden 023B","E01000945",611,471,120,15,3,2
"Camden 023C","E01000949",739,546,172,18,3,0
"Camden 023D","E01000950",550,404,133,12,0,1
"Camden 023E","E01000951",603,435,152,15,1,0
"Camden 024A","E01000936",536,357,163,13,2,1
"Camden 024B","E01000938",737,597,117,23,0,0
"Camden 024C","E01000939",446,331,105,10,0,0
"Camden 024D","E01000940",534,421,103,6,4,0
"Camden 025A","E01000853",840,700,122,16,2,0
"Camden 025B","E01000937",502,433,60,8,1,0
"Camden 025C","E01000941",557,418,127,10,1,1
"Camden 025D","E01000942",686,568,110,8,0,0
"Camden 025E","E01000943",596,505,83,8,0,0
"Camden 026A","E01000850",664,500,143,17,4,0
"Camden 026B","E01000851",861,653,175,28,5,0
"Camden 026C","E01000852",625,523,93,7,1,1
"Camden 026D","E01000854",718,564,129,19,6,0
"Camden 027A","E01000915",635,446,167,18,4,0
"Camden 027B","E01000916",881,672,187,17,5,0
"Camden 027C","E01000917",913,713,180,18,1,1
"Camden 027D","E01000920",946,654,247,40,4,1
"Camden 028A","E01000855",1111,903,184,18,4,2
"Camden 028B","E01000914",970,713,204,43,4,6
"Camden 028C","E01000918",935,726,175,24,9,1
"Camden 028D","E01000919",834,639,165,24,4,2
"City of London 001A","E01000001",876,519,285,53,15,4
"City of London 001B","E01000002",830,481,293,38,13,5
"City of London 001C","E01000003",817,655,148,11,2,1
"City of London 001E","E01000005",467,356,100,9,2,0
"City of London 001F","E01032739",676,516,125,24,7,4
"City of London 001G","E01032740",719,516,149,38,12,4
"Hackney 001A","E01001808",558,334,198,21,2,3
"Hackney 001B","E01001809",610,373,202,31,4,0
"Hackney 001C","E01001814",559,319,208,27,4,1
"Hackney 001D","E01001823",538,269,227,32,9,1
"Hackney 001E","E01001825",428,216,182,22,7,1
"Hackney 002A","E01001714",632,429,171,29,3,0
"Hackney 002D","E01001811",646,439,188,16,3,0
"Hackney 002E","E01001813",525,383,132,9,1,0
"Hackney 002F","E01033701",760,534,196,27,1,2
"Hackney 003A","E01001799",485,285,179,18,1,2
"Hackney 003B","E01001802",471,292,154,21,4,0
"Hackney 003C","E01001804",464,265,172,24,3,0
"Hackney 003D","E01001807",693,420,239,27,4,3
"Hackney 003E","E01001812",614,394,195,24,1,0
"Hackney 004A","E01001725",573,321,223,26,3,0
"Hackney 004B","E01001726",464,293,142,26,3,0
"Hackney 004C","E01001800",643,459,169,15,0,0
"Hackney 004D","E01001824",539,335,193,11,0,0
"Hackney 004E","E01001826",585,395,161,23,4,2
"Hackney 006A","E01001723",671,398,213,49,6,5
"Hackney 006B","E01001724",980,685,266,24,5,0
"Hackney 006C","E01001727",573,298,230,40,3,2
"Hackney 006D","E01001768",719,380,269,61,7,2
"Hackney 006E","E01001769",662,390,230,37,4,1
"Hackney 007A","E01001715",673,467,175,27,1,3
"Hackney 007B","E01001716",633,446,165,19,0,3
"Hackney 007C","E01001717",427,185,208,31,3,0
"Hackney 007D","E01001718",824,527,260,34,3,0
"Hackney 007E","E01001719",484,328,127,28,1,0
"Hackney 007F","E01001720",785,479,265,34,6,1
"Hackney 008A","E01001742",789,487,270,28,4,0
"Hackney 008B","E01001801",588,349,216,21,1,1
"Hackney 008C","E01001803",719,381,283,52,3,0
"Hackney 008D","E01001806",714,418,255,37,3,1
"Hackney 009A","E01001741",599,287,274,35,3,0
"Hackney 009B","E01001805",510,300,179,23,4,4
"Hackney 009C","E01001829",696,334,311,48,3,0
"Hackney 009D","E01001831",745,480,232,29,2,2
"Hackney 009E","E01001832",642,360,233,43,5,1
"Hackney 010A","E01001764",696,414,243,30,8,1
"Hackney 010B","E01001765",722,484,206,30,1,1
"Hackney 010D","E01001767",628,374,221,31,2,0
"Hackney 010E","E01001770",784,538,218,25,3,0
"Hackney 010F","E01033703",625,464,138,22,1,0
"Hackney 010G","E01033713",601,429,147,20,2,3
