
"KS601EW to KS603EW - Economic activity by sex"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"
"Sex        :","All persons"

"2011 super output area - lower layer","mnemonic","All usual residents aged 16 to 74","Economically active: In employment","Economically active: Unemployed","Economically active: Full-time student","Economically inactive: Retired","Economically inactive: Student (including full-time students)","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"

"Camden 001A","E01000907",1062,622,71,26,80,89,64,80,30
"Camden 001B","E01000908",1184,738,67,28,125,58,55,82,31
"Camden 001C","E01000909",1253,823,43,20,142,89,52,53,31
"Camden 001D","E01000912",1235,726,75,47,113,111,43,91,29
"Camden 001E","E01000913",1286,923,20,20,135,80,62,16,30
"Camden 002A","E01000893",1194,885,34,17,89,75,50,19,25
"Camden 002B","E01000894",1034,753,29,17,90,51,60,13,21
"Camden 002C","E01000895",1201,872,28,25,95,59,72,17,33
"Camden 002D","E01000896",1255,898,37,16,101,70,75,20,38
"Camden 002E","E01000899",1201,815,21,12,131,66,93,15,48
"Camden 003A","E01000910",1133,790,33,30,111,78,49,22,20
"Camden 003B","E01000911",1133,742,52,20,97,81,52,62,27
"Camden 003C","E01000921",1662,1214,63,49,81,114,42,55,44
"Camden 003D","E01000923",1179,767,61,35,84,93,40,79,20
"Camden 003E","E01000928",1264,828,51,21,109,93,48,81,33
"Camden 004A","E01000878",1289,613,33,93,91,319,79,18,43
"Camden 004B","E01000879",1119,694,36,65,83,116,60,19,46
"Camden 004C","E01000880",1104,779,27,13,70,80,92,12,31
"Camden 004D","E01000884",1056,695,25,23,75,95,93,17,33
"Camden 004E","E01000885",1018,650,21,17,131,62,87,12,38
"Camden 005A","E01000871",1267,837,61,35,99,92,62,38,43
"Camden 005B","E01000872",1623,1148,70,52,74,109,52,70,48
"Camden 005C","E01000873",1317,994,44,15,99,68,42,37,18
"Camden 005D","E01000874",1245,916,35,33,95,90,47,7,22
"Camden 005E","E01000877",1296,954,54,25,76,68,48,42,29
"Camden 006A","E01000886",1112,780,37,24,101,78,35,27,30
"Camden 006B","E01000887",1190,862,55,27,75,72,31,38,30
"Camden 006C","E01000888",1204,782,58,37,83,115,46,51,32
"Camden 006D","E01000892",1372,918,50,30,118,99,62,60,35
"Camden 006E","E01000903",1148,741,57,34,91,97,39,56,33
"Camden 007A","E01000889",1216,624,90,50,98,110,95,105,44
"Camden 007B","E01000890",1186,541,90,48,135,103,69,148,52
"Camden 007C","E01000891",1138,508,88,42,103,142,75,119,61
"Camden 007D","E01000901",1418,630,92,84,79,264,115,101,53
"Camden 007E","E01000922",1260,715,49,56,74,229,41,61,35
"Camden 007F","E01000927",1419,970,48,37,89,109,58,71,37
"Camden 008A","E01000881",1162,767,39,36,61,142,64,34,19
"Camden 008B","E01000882",1198,933,25,22,68,52,63,8,27
"Camden 008C","E01000883",1065,706,38,17,66,118,60,16,44
"Camden 008D","E01000897",1161,856,30,15,87,64,75,10,24
"Camden 008E","E01000898",1377,954,52,33,111,82,40,57,48
"Camden 009A","E01000866",1606,999,81,60,120,147,58,102,39
"Camden 009B","E01000870",1357,838,71,46,93,121,38,115,35
"Camden 009C","E01000924",1382,964,52,34,103,103,37,51,38
"Camden 009D","E01000925",1084,557,81,41,84,131,81,62,47
"Camden 009E","E01000926",1490,1065,45,42,56,144,45,50,43
"Camden 010A","E01000969",1720,1347,56,27,85,96,54,25,30
"Camden 010B","E01000970",1331,1081,39,20,53,56,20,35,27
"Camden 010C","E01000971",1177,877,38,30,82,60,39,36,15
"Camden 010D","E01000972",1611,948,90,58,109,140,77,123,66
"Camden 010E","E01000973",1613,1112,88,47,82,126,50,70,38
"Camden 011A","E01000842",1175,830,35,22,100,74,47,24,43
"Camden 011B","E01000844",1408,1068,35,22,74,63,74,41,31
"Camden 011C","E01000848",1273,995,41,14,81,44,49,21,28
"Camden 011D","E01000849",1274,953,33,34,86,75,44,25,24
"Camden 012A","E01000900",1400,862,87,36,110,117,75,74,39
"Camden 012B","E01000902",1026,525,67,38,74,111,85,87,39
"Camden 012C","E01000904",1640,958,100,81,137,142,79,97,46
"Camden 012D","E01000905",1392,646,96,62,141,145,117,117,68
"Camden 012E","E01000906",1246,919,39,31,81,83,36,33,24
"Camden 013A","E01000875",1394,959,60,28,72,135,38,60,42
"Camden 013B","E01000876",1359,804,91,47,108,114,63,85,47
"Camden 013C","E01000931",1494,865,111,46,123,124,65,105,55
"Camden 013D","E01000932",1605,1192,54,36,87,68,48,80,40
"Camden 013E","E01000974",1414,899,79,55,78,129,43,82,49
"Camden 014A","E01000843",1299,891,67,25,81,82,70,35,48
"Camden 014B","E01000845",1166,824,33,30,82,85,50,29,33
"Camden 014C","E01000846",1027,556,62,37,100,94,79,53,46
"Camden 014D","E01000847",1171,696,68,21,79,104,92,61,50
"Camden 015A","E01000864",1276,845,55,46,60,147,41,42,40
"Camden 015B","E01000865",1330,551,34,128,63,490,19,31,14
"Camden 015C","E01000867",1225,639,54,79,80,171,72,65,65
"Camden 015D","E01000868",1014,580,90,30,52,74,68,87,33
"Camden 015E","E01000869",1733,1095,77,82,112,199,50,62,56
"Camden 016A","E01000962",1330,1054,50,27,56,70,30,22,21
"Camden 016B","E01000964",1220,824,51,21,78,101,59,41,45
"Camden 016C","E01000965",1243,904,29,31,78,88,38,45,30
"Camden 016D","E01000966",1237,975,20,24,64,63,53,15,23
"Camden 016E","E01000968",1275,954,39,20,85,55,59,32,31
"Camden 017A","E01000960",1380,900,67,40,102,110,82,35,44
"Camden 017B","E01000961",1123,593,72,42,81,122,99,65,49
"Camden 017C","E01000963",1416,837,38,21,99,173,158,21,69
